Index Name,Date,Open,High,Low,Close
NIFTY INFRASTRUCTURE,2021-01-01,3656.25,3678.45,3651.7,3674.2
NIFTY INFRASTRUCTURE,2020-12-31,3668.0,3677.9,3644.1,3650.95
NIFTY INFRASTRUCTURE,2020-12-30,3656.75,3675.2,3626.9,3669.25
NIFTY INFRASTRUCTURE,2020-12-29,3669.15,3674.45,3619.45,3645.45
NIFTY INFRASTRUCTURE,2020-12-28,3643.7,3659.9,3641.0,3656.35
NIFTY INFRASTRUCTURE,2020-12-24,3620.05,3636.0,3591.75,3620.95
NIFTY INFRASTRUCTURE,2020-12-23,3563.05,3590.75,3540.95,3584.85
NIFTY INFRASTRUCTURE,2020-12-22,3513.55,3575.0,3452.2,3562.45
NIFTY INFRASTRUCTURE,2020-12-21,3663.7,3681.65,3402.65,3511.5
NIFTY INFRASTRUCTURE,2020-12-18,3676.35,3683.75,3643.05,3666.9
NIFTY INFRASTRUCTURE,2020-12-17,3694.05,3698.85,3667.2,3676.35
NIFTY INFRASTRUCTURE,2020-12-16,3677.6,3686.5,3660.9,3682.7
NIFTY INFRASTRUCTURE,2020-12-15,3660.5,3660.5,3615.65,3652.45
NIFTY INFRASTRUCTURE,2020-12-14,3635.45,3659.1,3632.0,3652.0
NIFTY INFRASTRUCTURE,2020-12-11,3613.4,3644.35,3581.45,3618.15
NIFTY INFRASTRUCTURE,2020-12-10,3618.6,3622.05,3572.7,3600.1
NIFTY INFRASTRUCTURE,2020-12-09,3628.75,3634.35,3616.2,3623.45
NIFTY INFRASTRUCTURE,2020-12-08,3621.5,3636.15,3579.15,3607.2
NIFTY INFRASTRUCTURE,2020-12-07,3578.0,3608.15,3571.2,3604.3
NIFTY INFRASTRUCTURE,2020-12-04,3553.15,3578.8,3535.9,3565.9
NIFTY INFRASTRUCTURE,2020-12-03,3532.55,3536.5,3507.7,3528.55
NIFTY INFRASTRUCTURE,2020-12-02,3487.1,3504.55,3464.1,3501.8
NIFTY INFRASTRUCTURE,2020-12-01,3458.15,3480.45,3435.05,3476.85
NIFTY INFRASTRUCTURE,2020-11-27,3443.65,3457.5,3396.1,3424.75
NIFTY INFRASTRUCTURE,2020-11-26,3426.3,3441.5,3393.7,3431.6
NIFTY INFRASTRUCTURE,2020-11-25,3465.85,3474.55,3399.95,3407.35
NIFTY INFRASTRUCTURE,2020-11-24,3452.4,3466.65,3439.7,3446.0
NIFTY INFRASTRUCTURE,2020-11-23,3438.15,3446.55,3421.85,3436.5
NIFTY INFRASTRUCTURE,2020-11-20,3406.3,3422.8,3372.2,3405.3
NIFTY INFRASTRUCTURE,2020-11-19,3396.55,3454.1,3379.9,3390.05
NIFTY INFRASTRUCTURE,2020-11-18,3389.35,3425.85,3384.55,3421.5
NIFTY INFRASTRUCTURE,2020-11-17,3415.3,3415.4,3384.3,3390.45
NIFTY INFRASTRUCTURE,2020-11-14,3383.3,3385.15,3365.25,3375.55
NIFTY INFRASTRUCTURE,2020-11-13,3331.6,3358.5,3324.4,3355.3
NIFTY INFRASTRUCTURE,2020-11-12,3334.15,3349.45,3320.6,3344.1
NIFTY INFRASTRUCTURE,2020-11-11,3314.45,3345.2,3289.5,3338.85
NIFTY INFRASTRUCTURE,2020-11-10,3267.55,3308.7,3252.15,3305.75
NIFTY INFRASTRUCTURE,2020-11-09,3223.25,3248.15,3213.3,3243.65
NIFTY INFRASTRUCTURE,2020-11-06,3194.4,3206.45,3183.6,3189.85
NIFTY INFRASTRUCTURE,2020-11-05,3159.55,3185.55,3145.35,3183.05
NIFTY INFRASTRUCTURE,2020-11-04,3103.6,3126.95,3086.0,3120.15
NIFTY INFRASTRUCTURE,2020-11-03,3121.3,3128.15,3095.65,3110.25
NIFTY INFRASTRUCTURE,2020-11-02,3129.15,3130.35,3092.2,3098.7
NIFTY INFRASTRUCTURE,2020-10-30,3135.5,3162.15,3104.05,3129.65
NIFTY INFRASTRUCTURE,2020-10-29,3107.3,3135.65,3101.65,3124.4
NIFTY INFRASTRUCTURE,2020-10-28,3176.4,3202.4,3134.05,3141.6
NIFTY INFRASTRUCTURE,2020-10-27,3124.7,3163.0,3104.15,3157.75
NIFTY INFRASTRUCTURE,2020-10-26,3157.65,3163.3,3102.0,3113.2
NIFTY INFRASTRUCTURE,2020-10-23,3157.45,3166.75,3146.5,3152.4
NIFTY INFRASTRUCTURE,2020-10-22,3118.2,3149.3,3110.05,3145.1
NIFTY INFRASTRUCTURE,2020-10-21,3112.2,3136.3,3077.9,3122.05
NIFTY INFRASTRUCTURE,2020-10-20,3098.75,3114.55,3090.1,3093.15
NIFTY INFRASTRUCTURE,2020-10-19,3092.05,3098.7,3074.65,3090.75
NIFTY INFRASTRUCTURE,2020-10-16,3060.25,3082.6,3048.15,3075.65
NIFTY INFRASTRUCTURE,2020-10-15,3113.2,3127.0,3035.95,3044.15
NIFTY INFRASTRUCTURE,2020-10-14,3104.95,3116.0,3075.45,3109.75
NIFTY INFRASTRUCTURE,2020-10-13,3109.35,3131.5,3099.05,3108.5
NIFTY INFRASTRUCTURE,2020-10-12,3129.25,3142.9,3093.75,3100.4
NIFTY INFRASTRUCTURE,2020-10-09,3113.65,3126.65,3108.75,3119.1
NIFTY INFRASTRUCTURE,2020-10-08,3119.05,3120.95,3093.3,3108.45
NIFTY INFRASTRUCTURE,2020-10-07,3105.1,3130.1,3092.2,3108.55
NIFTY INFRASTRUCTURE,2020-10-06,3102.25,3105.9,3083.7,3096.6
NIFTY INFRASTRUCTURE,2020-10-05,3111.95,3116.2,3081.65,3085.25
NIFTY INFRASTRUCTURE,2020-10-01,3106.6,3112.25,3092.2,3101.15
NIFTY INFRASTRUCTURE,2020-09-30,3111.2,3114.45,3069.35,3080.95
NIFTY INFRASTRUCTURE,2020-09-29,3129.95,3129.95,3074.25,3099.75
NIFTY INFRASTRUCTURE,2020-09-28,3079.2,3123.05,3073.5,3111.3
NIFTY INFRASTRUCTURE,2020-09-25,2988.0,3055.55,2976.9,3049.8
NIFTY INFRASTRUCTURE,2020-09-24,3003.2,3009.5,2952.65,2960.3
NIFTY INFRASTRUCTURE,2020-09-23,3097.9,3099.05,3005.4,3037.75
NIFTY INFRASTRUCTURE,2020-09-22,3133.4,3134.9,3049.45,3073.75
NIFTY INFRASTRUCTURE,2020-09-21,3218.3,3219.4,3108.9,3123.55
NIFTY INFRASTRUCTURE,2020-09-18,3212.35,3223.45,3196.25,3218.5
NIFTY INFRASTRUCTURE,2020-09-17,3207.55,3216.55,3186.0,3193.3
NIFTY INFRASTRUCTURE,2020-09-16,3220.7,3232.1,3212.7,3218.25
NIFTY INFRASTRUCTURE,2020-09-15,3192.85,3216.65,3188.55,3212.95
NIFTY INFRASTRUCTURE,2020-09-14,3217.85,3230.3,3168.35,3182.1
NIFTY INFRASTRUCTURE,2020-09-11,3206.1,3216.5,3186.4,3201.75
NIFTY INFRASTRUCTURE,2020-09-10,3156.7,3211.45,3150.35,3204.25
NIFTY INFRASTRUCTURE,2020-09-09,3097.9,3142.85,3088.4,3132.9
NIFTY INFRASTRUCTURE,2020-09-08,3165.0,3165.65,3112.65,3121.6
