Index Name,Date,Open,High,Low,Close
NIFTY ENERGY,2021-01-01,17002.4,17011.35,16922.3,16976.2
NIFTY ENERGY,2020-12-31,16933.65,17066.8,16892.6,16922.5
NIFTY ENERGY,2020-12-30,16938.2,16976.05,16818.5,16948.75
NIFTY ENERGY,2020-12-29,17055.15,17110.15,16807.45,16899.35
NIFTY ENERGY,2020-12-28,16958.65,17057.85,16915.65,17005.5
NIFTY ENERGY,2020-12-24,16727.55,16919.9,16706.8,16860.7
NIFTY ENERGY,2020-12-23,16590.5,16663.8,16420.6,16628.2
NIFTY ENERGY,2020-12-22,16320.2,16617.25,16065.1,16569.0
NIFTY ENERGY,2020-12-21,17223.05,17223.05,15989.8,16377.45
NIFTY ENERGY,2020-12-18,17355.85,17375.55,17098.9,17231.95
NIFTY ENERGY,2020-12-17,17454.95,17484.1,17285.2,17323.55
NIFTY ENERGY,2020-12-16,17440.6,17456.6,17316.3,17383.15
NIFTY ENERGY,2020-12-15,17393.0,17393.0,17101.8,17281.35
NIFTY ENERGY,2020-12-14,17298.5,17388.15,17255.05,17351.35
NIFTY ENERGY,2020-12-11,16930.95,17400.8,16927.95,17204.05
NIFTY ENERGY,2020-12-10,17071.05,17104.8,16785.0,16931.6
NIFTY ENERGY,2020-12-09,17088.25,17166.9,17026.8,17087.75
NIFTY ENERGY,2020-12-08,17103.35,17176.9,16905.0,16967.55
NIFTY ENERGY,2020-12-07,16953.5,17081.7,16940.25,16998.6
NIFTY ENERGY,2020-12-04,17048.1,17102.1,16802.9,16923.55
NIFTY ENERGY,2020-12-03,16821.45,16964.0,16740.65,16941.25
NIFTY ENERGY,2020-12-02,16536.25,16729.9,16439.8,16701.05
NIFTY ENERGY,2020-12-01,16326.6,16537.85,16207.45,16475.35
NIFTY ENERGY,2020-11-27,16386.3,16516.9,16066.5,16251.85
NIFTY ENERGY,2020-11-26,16317.9,16388.2,16201.35,16346.0
NIFTY ENERGY,2020-11-25,16542.2,16597.15,16356.45,16388.0
NIFTY ENERGY,2020-11-24,16528.35,16584.05,16342.5,16460.55
NIFTY ENERGY,2020-11-23,16182.05,16463.45,16124.05,16405.55
NIFTY ENERGY,2020-11-20,15978.5,16081.4,15837.95,15959.75
NIFTY ENERGY,2020-11-19,15813.55,16160.95,15809.45,15951.55
NIFTY ENERGY,2020-11-18,15942.55,16025.25,15770.5,15911.1
NIFTY ENERGY,2020-11-17,16277.3,16284.75,15885.55,15925.3
NIFTY ENERGY,2020-11-14,16010.6,16066.05,15927.95,16019.6
NIFTY ENERGY,2020-11-13,15691.95,15917.55,15667.55,15869.25
NIFTY ENERGY,2020-11-12,15779.25,15857.9,15694.15,15743.2
NIFTY ENERGY,2020-11-11,15761.1,15926.15,15635.35,15773.55
NIFTY ENERGY,2020-11-10,15595.65,15740.5,15466.15,15713.05
NIFTY ENERGY,2020-11-09,15379.2,15513.2,15282.55,15491.5
NIFTY ENERGY,2020-11-06,15112.55,15232.95,15085.4,15180.75
NIFTY ENERGY,2020-11-05,14787.8,15040.9,14731.25,15020.35
NIFTY ENERGY,2020-11-04,14512.7,14650.1,14444.5,14628.5
NIFTY ENERGY,2020-11-03,14754.65,14800.65,14478.35,14528.45
NIFTY ENERGY,2020-11-02,14972.55,15002.25,14554.0,14606.1
NIFTY ENERGY,2020-10-30,14827.9,15024.05,14810.7,14977.8
NIFTY ENERGY,2020-10-29,14535.2,14758.6,14534.35,14722.15
NIFTY ENERGY,2020-10-28,14857.1,14869.25,14660.5,14688.35
NIFTY ENERGY,2020-10-27,14712.45,14780.55,14560.6,14752.25
NIFTY ENERGY,2020-10-26,14905.7,14912.4,14537.95,14613.45
NIFTY ENERGY,2020-10-23,14845.45,14947.6,14809.3,14901.7
NIFTY ENERGY,2020-10-22,14591.3,14831.5,14510.2,14789.45
NIFTY ENERGY,2020-10-21,14667.5,14834.55,14478.7,14643.55
NIFTY ENERGY,2020-10-20,14718.3,14751.3,14504.5,14529.15
NIFTY ENERGY,2020-10-19,14656.85,14832.75,14642.8,14743.25
NIFTY ENERGY,2020-10-16,14520.35,14667.3,14435.95,14562.55
NIFTY ENERGY,2020-10-15,14767.05,14832.65,14399.65,14460.2
NIFTY ENERGY,2020-10-14,14902.8,14952.65,14645.75,14755.0
NIFTY ENERGY,2020-10-13,14742.5,14935.05,14708.9,14911.95
NIFTY ENERGY,2020-10-12,14883.75,14969.9,14723.55,14754.6
NIFTY ENERGY,2020-10-09,14784.1,14857.7,14721.2,14833.8
NIFTY ENERGY,2020-10-08,14945.4,14953.0,14714.25,14780.15
NIFTY ENERGY,2020-10-07,14990.25,15166.35,14889.65,14914.4
NIFTY ENERGY,2020-10-06,15072.95,15084.1,14920.8,14966.8
NIFTY ENERGY,2020-10-05,15134.75,15149.5,14971.85,14999.05
NIFTY ENERGY,2020-10-01,15157.6,15157.6,14984.15,15049.7
NIFTY ENERGY,2020-09-30,15283.25,15333.7,14959.7,15026.95
NIFTY ENERGY,2020-09-29,15378.35,15378.95,15109.8,15175.1
NIFTY ENERGY,2020-09-28,15004.8,15305.9,14963.85,15210.2
NIFTY ENERGY,2020-09-25,14701.8,14870.8,14602.35,14826.3
NIFTY ENERGY,2020-09-24,14751.6,14849.9,14492.3,14548.45
NIFTY ENERGY,2020-09-23,15247.7,15247.7,14841.8,14956.6
NIFTY ENERGY,2020-09-22,15407.75,15418.15,14923.7,15064.9
NIFTY ENERGY,2020-09-21,15771.1,15784.0,15304.7,15366.3
NIFTY ENERGY,2020-09-18,15796.25,15830.0,15649.3,15777.1
NIFTY ENERGY,2020-09-17,15793.35,15866.3,15658.75,15688.45
NIFTY ENERGY,2020-09-16,15922.95,15997.4,15801.1,15829.45
NIFTY ENERGY,2020-09-15,15869.2,15966.8,15833.3,15898.6
NIFTY ENERGY,2020-09-14,16010.7,16092.4,15765.5,15829.15
NIFTY ENERGY,2020-09-11,15968.9,16046.3,15833.05,15942.3
NIFTY ENERGY,2020-09-10,15490.95,16029.7,15453.0,15978.05
NIFTY ENERGY,2020-09-09,15223.6,15424.8,15095.3,15365.85
NIFTY ENERGY,2020-09-08,15413.85,15487.0,15293.8,15336.45
NIFTY ENERGY,2020-09-07,15507.05,15554.85,15231.2,15356.45
NIFTY ENERGY,2020-09-04,15537.0,15612.95,15393.15,15434.7
NIFTY ENERGY,2020-09-03,15864.6,15928.55,15679.3,15734.75
NIFTY ENERGY,2020-09-02,15709.45,15895.45,15633.9,15857.25
NIFTY ENERGY,2020-09-01,15712.2,15734.7,15509.7,15673.05
NIFTY ENERGY,2020-08-31,16208.1,16301.7,15534.35,15605.25
NIFTY ENERGY,2020-08-28,16075.6,16139.95,15941.0,15970.75
NIFTY ENERGY,2020-08-27,16198.4,16212.2,15971.15,15996.1
NIFTY ENERGY,2020-08-26,16056.75,16153.95,15914.85,16115.05
NIFTY ENERGY,2020-08-25,16141.05,16166.1,15925.3,15980.2
NIFTY ENERGY,2020-08-24,16171.9,16243.4,15974.15,16071.0
NIFTY ENERGY,2020-08-21,16146.8,16252.85,16047.5,16085.35
NIFTY ENERGY,2020-08-20,15650.5,16049.2,15592.55,15960.95
NIFTY ENERGY,2020-08-19,15748.1,15824.7,15684.2,15712.0
NIFTY ENERGY,2020-08-18,15624.5,15749.4,15595.9,15634.35
NIFTY ENERGY,2020-08-17,15444.0,15640.95,15315.55,15588.45
NIFTY ENERGY,2020-08-14,15615.85,15639.15,15282.1,15394.95
NIFTY ENERGY,2020-08-13,15575.6,15608.0,15492.35,15540.55
NIFTY ENERGY,2020-08-12,15542.5,15594.4,15452.05,15549.0
NIFTY ENERGY,2020-08-11,15608.3,15705.3,15499.6,15588.25
NIFTY ENERGY,2020-08-10,15601.2,15638.6,15457.95,15515.35
NIFTY ENERGY,2020-08-07,15444.6,15562.15,15413.1,15498.05
NIFTY ENERGY,2020-08-06,15467.6,15539.8,15337.5,15408.15
NIFTY ENERGY,2020-08-05,15476.9,15566.5,15297.7,15328.3
NIFTY ENERGY,2020-08-04,15111.05,15462.2,15024.75,15408.15
NIFTY ENERGY,2020-08-03,15280.5,15283.45,15003.6,15055.55
NIFTY ENERGY,2020-07-31,15478.4,15542.5,15238.45,15309.15
NIFTY ENERGY,2020-07-30,15695.0,15719.75,15379.75,15439.0
NIFTY ENERGY,2020-07-29,15994.7,16064.0,15629.35,15737.55
NIFTY ENERGY,2020-07-28,15925.45,16029.35,15916.15,16001.95
NIFTY ENERGY,2020-07-27,16030.75,16047.0,15764.45,15903.05
NIFTY ENERGY,2020-07-24,15732.35,15964.8,15700.3,15895.85
NIFTY ENERGY,2020-07-23,15536.3,15854.65,15480.4,15803.25
NIFTY ENERGY,2020-07-22,15520.1,15711.75,15405.55,15565.4
NIFTY ENERGY,2020-07-21,15026.05,15478.65,15005.1,15457.35
NIFTY ENERGY,2020-07-20,14985.3,15044.2,14887.5,14936.0
NIFTY ENERGY,2020-07-17,14400.45,14980.6,14400.45,14942.25
NIFTY ENERGY,2020-07-16,14345.55,14365.45,14070.75,14339.9
NIFTY ENERGY,2020-07-15,14718.35,14822.8,14162.6,14302.95
NIFTY ENERGY,2020-07-14,14808.95,14825.15,14539.45,14581.9
NIFTY ENERGY,2020-07-13,14827.75,15025.1,14754.3,14835.1
NIFTY ENERGY,2020-07-10,14604.7,14724.4,14522.9,14698.5
NIFTY ENERGY,2020-07-09,14639.05,14682.25,14565.35,14620.85
NIFTY ENERGY,2020-07-08,14715.95,14768.9,14514.55,14554.35
NIFTY ENERGY,2020-07-07,15037.6,15046.85,14667.0,14696.7
NIFTY ENERGY,2020-07-06,14887.7,15057.0,14822.7,14997.85
NIFTY ENERGY,2020-07-03,14738.55,14797.15,14644.3,14771.05
NIFTY ENERGY,2020-07-02,14538.75,14707.6,14509.55,14625.2
NIFTY ENERGY,2020-07-01,14399.85,14495.05,14275.7,14474.35
NIFTY ENERGY,2020-06-30,14737.1,14737.1,14368.85,14396.55
NIFTY ENERGY,2020-06-29,14775.45,14833.45,14536.85,14588.5
NIFTY ENERGY,2020-06-26,14665.55,14879.2,14596.05,14832.65
NIFTY ENERGY,2020-06-25,14575.75,14733.55,14462.4,14505.2
NIFTY ENERGY,2020-06-24,14942.6,14957.2,14571.15,14603.65
NIFTY ENERGY,2020-06-23,14748.0,14867.05,14695.05,14837.55
NIFTY ENERGY,2020-06-22,14684.5,14785.65,14581.75,14675.6
NIFTY ENERGY,2020-06-19,14135.65,14604.65,14093.9,14535.25
NIFTY ENERGY,2020-06-18,13714.2,14078.5,13670.6,14023.45
NIFTY ENERGY,2020-06-17,13708.85,13864.05,13675.8,13742.95
NIFTY ENERGY,2020-06-16,14062.35,14080.65,13597.5,13780.55
NIFTY ENERGY,2020-06-15,13755.65,13907.75,13589.6,13815.45
NIFTY ENERGY,2020-06-12,13274.5,13891.15,13269.4,13855.75
NIFTY ENERGY,2020-06-11,13917.95,14037.75,13709.85,13745.7
NIFTY ENERGY,2020-06-10,13943.1,14000.95,13805.1,13954.3
NIFTY ENERGY,2020-06-09,14179.0,14239.75,13845.0,13894.9
NIFTY ENERGY,2020-06-08,14234.2,14328.5,14099.25,14140.55
NIFTY ENERGY,2020-06-05,13762.15,14002.5,13738.85,13925.4
NIFTY ENERGY,2020-06-04,13469.1,13739.5,13453.6,13704.6
NIFTY ENERGY,2020-06-03,13595.65,13666.2,13478.95,13519.55
NIFTY ENERGY,2020-06-02,13430.3,13511.6,13297.3,13479.9
NIFTY ENERGY,2020-06-01,13205.9,13488.5,13161.3,13345.6
NIFTY ENERGY,2020-05-29,12794.9,13117.15,12737.15,13060.5
NIFTY ENERGY,2020-05-28,12783.5,12871.6,12747.1,12845.0
NIFTY ENERGY,2020-05-27,12562.75,12750.45,12441.8,12715.95
NIFTY ENERGY,2020-05-26,12534.05,12610.7,12474.7,12519.55
NIFTY ENERGY,2020-05-22,12492.5,12518.35,12346.7,12463.55
NIFTY ENERGY,2020-05-21,12510.0,12574.1,12417.45,12502.6
NIFTY ENERGY,2020-05-20,12233.25,12551.0,12190.7,12508.5
NIFTY ENERGY,2020-05-19,12369.0,12497.2,12217.55,12247.7
NIFTY ENERGY,2020-05-18,12672.5,12672.5,12189.25,12214.55
NIFTY ENERGY,2020-05-15,12547.0,12687.6,12440.7,12615.45
NIFTY ENERGY,2020-05-14,12764.35,12782.4,12456.25,12485.95
NIFTY ENERGY,2020-05-13,13176.8,13176.8,12742.0,12911.45
NIFTY ENERGY,2020-05-12,12859.9,12919.45,12584.45,12664.4
NIFTY ENERGY,2020-05-11,13007.5,13188.85,12890.25,12920.15
NIFTY ENERGY,2020-05-08,13043.65,13075.65,12872.4,12896.7
NIFTY ENERGY,2020-05-07,12852.7,12867.95,12748.0,12829.4
NIFTY ENERGY,2020-05-06,12816.95,12966.4,12697.6,12912.4
NIFTY ENERGY,2020-05-05,12917.25,13119.1,12857.3,12897.9
NIFTY ENERGY,2020-05-04,12825.55,12919.65,12689.15,12726.65
NIFTY ENERGY,2020-04-30,12821.2,13228.65,12711.2,13154.7
NIFTY ENERGY,2020-04-29,12664.5,12721.3,12581.25,12611.55
NIFTY ENERGY,2020-04-28,12677.95,12713.0,12433.45,12547.7
NIFTY ENERGY,2020-04-27,12640.95,12785.05,12558.05,12581.95
NIFTY ENERGY,2020-04-24,12322.55,12831.4,12284.5,12500.8
NIFTY ENERGY,2020-04-23,12529.95,12627.45,12409.65,12438.7
NIFTY ENERGY,2020-04-22,12316.75,12519.95,12044.35,12485.8
NIFTY ENERGY,2020-04-21,12138.25,12144.1,11864.45,12090.55
NIFTY ENERGY,2020-04-20,12361.1,12466.45,12106.8,12402.05
NIFTY ENERGY,2020-04-17,12419.35,12419.35,12143.05,12281.15
NIFTY ENERGY,2020-04-16,11656.7,12064.45,11631.9,11978.75
NIFTY ENERGY,2020-04-15,11945.2,12260.6,11676.95,11721.9
NIFTY ENERGY,2020-04-13,11972.35,11992.95,11635.8,11830.65
NIFTY ENERGY,2020-04-09,11916.25,12037.25,11818.55,11987.0
NIFTY ENERGY,2020-04-08,11566.75,11990.55,11427.9,11685.15
NIFTY ENERGY,2020-04-07,11184.9,11700.05,11079.3,11667.75
NIFTY ENERGY,2020-04-03,11040.0,11040.5,10641.1,10888.4
NIFTY ENERGY,2020-04-01,11119.45,11133.1,10657.0,10771.9
NIFTY ENERGY,2020-03-31,10689.0,11176.4,10556.15,11124.15
NIFTY ENERGY,2020-03-30,10338.1,10652.5,10210.85,10401.1
